MOFname,linker-SMILES,RDKitLinkerSanity
j.jssc.2014.12.022_1_clean,"['n1cn(cc1)c1ccc(n2cncc2)cc1', 'c1(cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)Nc1ccc(cc1)C(=O)[O]']",True
j.jssc.2014.12.022_1-squeeze_clean,"['n1cn(cc1)c1ccc(n2cncc2)cc1', 'c1(cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)Nc1ccc(cc1)C(=O)[O]']",True
j.jssc.2014.12.022_2_clean,"['n1cn(cc1)c1ccc(n2cncc2)cc1', 'c1(cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O])N(=O)=O)N(=O)=O']",True
j.jssc.2014.12.022_2-squeeze_clean,"['n1cn(cc1)c1ccc(n2cncc2)cc1', 'c1(cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O])N(=O)=O)N(=O)=O']",True
j.jssc.2015.01.014_Cmpd4_clean,"['C(=O)([O])C1=C([C]OC1=O)C(=O)[O]', '[O]C(=O)c1c([c]o[c]1)C(=O)[O]', 'C(=O)=O', '[O]O[O]']",True
j.jssc.2015.05.012_mmc4_clean,"['c1c(C(=O)[O])cc2c(c1)cc(cc2)C(=O)[O]', 'c1cc(ccn1)SSc1ccncc1']",True
j.jssc.2015.05.012_mmc5_clean,"['c12cc(ccc1cc(cc2)C(=O)[O])C(=O)[O]', 'c1c(ccnc1)SSc1ccncc1']",True
j.jssc.2015.05.012_mmc6_clean,"['S(Sc1ccncc1)c1ccncc1', '[O]C(=O)c1ccc2c(c1)ccc(C(=O)[O])c2', 'C(=O)([O])c1cc2c(cc([c][c]2)C(=O)[O])[c][c]1', 'C(=O)(c1c[c]c2c(c1)[c]cc(C(=O)[O])c2)[O]']",True
j.jssc.2015.06.039_mmc3_clean,"['[O]C(=O)c1ccc(C(=O)[O])nc1', 'c1c(ccnc1)CCc1ccncc1']",True
j.jssc.2015.06.039_mmc5_clean,"['c1cc(ccn1)CCc1ccncc1', '[O]C(=O)c1ccc(C(=O)[O])nc1']",True
j.jssc.2016.05.021_1_clean,"['n1ccc(cc1)c1ccc(c2ccncc2)cc1', 'C(=O)(c1cc(cc(c1)C(=O)[O])O)[O]']",True
